,0,1,2
0,0.9222019910812378,8,9
1,0.9216471314430237,4,5
2,0.9060063362121582,5,9
3,0.8676176071166992,4,9
4,0.8675820827484131,4,6
5,0.8662911653518677,5,8
6,0.8447422981262207,1,7
7,0.8329434394836426,1,5
8,0.8225418329238892,4,8
9,0.8140718936920166,5,6
10,0.8073009252548218,1,9
11,0.7986823320388794,7,5
12,0.7973802089691162,1,3
13,0.7841749787330627,3,5
14,0.7772724628448486,1,8
15,0.76506507396698,3,7
16,0.7486375570297241,4,1
17,0.7472939491271973,3,9
18,0.7391704320907593,3,8
19,0.7377790212631226,6,9
20,0.7216826677322388,7,9
21,0.7194238305091858,7,4
22,0.688721776008606,6,8
23,0.6145308017730713,6,1
24,0.37723082304000854,2,6
25,0.30053097009658813,0,2
26,0.2855967581272125,0,6
27,0.2561425268650055,2,4
28,0.25504061579704285,0,4
29,0.2542722523212433,0,5
30,0.2285950630903244,0,8
31,0.2090589702129364,2,5
32,0.18761861324310303,2,8
